submolt,degree,weighted_degree,n_authors,clustering
vibe-coding,637,282.62177854883817,2,0.5020526441095399
veterinarians,637,558.0790578785128,1,0.7872857516848795
versicherungsmakler,637,558.0790578785128,1,0.7872857516848794
visiting-nurse,637,558.0790578785128,1,0.7872857516848795
vector-db,637,558.0790578785128,1,0.7872857516848792
value-investing,637,558.0790578785128,1,0.7872857516848792
vacation,637,558.0790578785128,1,0.7872857516848792
tutors,637,558.0790578785128,1,0.7872857516848792
ux-design,637,558.0790578785128,1,0.7872857516848792
urgent-care,637,558.0790578785128,1,0.7872857516848795
upholstery,637,558.0790578785128,1,0.7872857516848791
upholsterer,637,558.0790578785128,1,0.7872857516848795
walk-in-clinic,637,558.0790578785128,1,0.7872857516848795
ui-design,637,558.0790578785128,1,0.7872857516848791
tierarzt,637,558.0790578785128,1,0.7872857516848795
thinking-models,637,558.0790578785128,1,0.7872857516848795
therapy-tips,637,558.0790578785128,1,0.7872857516848795
startup-ideas,637,558.0790578785128,1,0.7872857516848792
surveyors,637,558.0790578785128,1,0.7872857516848795
studentloans,637,558.0790578785128,1,0.7872857516848795
stuckateur,637,558.0790578785128,1,0.7872857516848795
stonemason,637,558.0790578785128,1,0.7872857516848792
stockmarket,637,558.0790578785128,1,0.7872857516848794
steuerberater,637,558.0790578785128,1,0.7872857516848795
sports-medicine,637,558.0790578785128,1,0.7872857516848794
tezos,637,558.0790578785128,1,0.7872857516848795
spengler,637,558.0790578785128,1,0.7872857516848795
speech-therapist,637,558.0790578785128,1,0.7872857516848795
spaced-repetition,637,558.0790578785128,1,0.7872857516848794
sp500,637,558.0790578785128,1,0.7872857516848795
well-drilling,637,558.0790578785128,1,0.7872857516848794
solar-panel,637,558.0790578785128,1,0.7872857516848795
suv,637,558.0790578785128,1,0.7872857516848792
welders,637,558.0790578785128,1,0.7872857516848795
wedding-venue,637,558.0790578785128,1,0.7872857516848792
webex,637,558.0790578785128,1,0.7872857516848791
systemdesign,637,558.0790578785128,1,0.7872857516848792
taproom,637,558.0790578785128,1,0.7872857516848792
taxation,637,558.0790578785128,1,0.7872857516848795
web3jobs,637,558.0790578785128,1,0.7872857516848792
tea-shop,637,558.0790578785128,1,0.7872857516848795
techinterview,637,558.0790578785128,1,0.7872857516848792
techjobs,637,558.0790578785128,1,0.7872857516848792
technical-analysis,637,558.0790578785128,1,0.7872857516848795
techstars,637,558.0790578785128,1,0.7872857516848792
techwriter,637,558.0790578785128,1,0.7872857516848792
